"word","cluster"
"sede","3"
"pardo","6"
"montoya","2"
"meta","12"
"recibí","5"
"resto","2"
"llevando","6"
"santa","12"
"produce","10"
"venían","3"
"ustedes","3"
"dimos","10"
"enfermero","10"
"ministro","9"
"junio","1"
"tr","1"
"ubicado","3"
"territorio","16"
"relatar","4"
"judicialmente","1"
"manejaba","2"
"público","14"
"muertas","10"
"sujeta","16"
"suministró","5"
"llegan","3"
"entrado","10"
"manual","2"
"panza","3"
"entramos","10"
"tuvimos","10"
"comantes","3"
"criterio","2"
"fondo","9"
"teníamos","5"
"ord","2"
"víctima","8"
"resistencia","14"
"defensor","4"
"partida","2"
"técnico","22"
"realizaban","2"
"salieron","1"
"delincuencia","2"
"com","3"
"contrer","3"
"desempeñé","2"
"informaba","2"
"suspendemos","15"
"pertenecía","3"
"er","2"
"revisó","19"
"presupuesto","2"
"salían","1"
"reportó","3"
"cárdenas","4"
"cuarto","14"
"vestidos","6"
"potestad","2"
"pico","6"
"noviembre","1"
"organización","10"
"recibido","5"
"torno","5"
"partes","12"
"pusieron","2"
"guerrillas","3"
"llegado","3"
"pagar","5"
"planeó","6"
"llevaban","6"
"simulación","10"
"suceder","6"
"medina","11"
"organizado","3"
"quedar","6"
"puntual","5"
"tipos","2"
"guarnizo","6"
"toman","7"
"observatorio","16"
"ilegal","3"
"supuestamente","3"
"dotación","3"
"patrulla","2"
"instalada","15"
"responder","13"
"perfecto","20"
"darlos","10"
"carro","3"
"contrader","3"
"nuevamente","3"
"llevado","6"
"noche","1"
"preguntar","6"
"suprema","16"
"río","3"
"mandó","13"
"tangibles","3"
"aria","7"
"señalar","24"
"legislativo","4"
"dada","10"
"legítimas","3"
"reporta","3"
"planes","18"
"dr","6"
"peña","6"
"infracciones","9"
"retomamos","15"
"firmar","2"
"transcurso","1"
"positivos","13"
"señala","9"
"temas","9"
"pablo","6"
"produjo","23"
"suma","3"
"empezaron","5"
"objetivo","3"
"entraron","10"
"ejercer","6"
"llegaban","5"
